WORD_norm	WORD	Transcription1	PerMilFreq	zipf	Length	AvePhonLength	n_syllables	H_GPC_word	H_PGC_word	H_GPC_grapheme_word	H_PGC_grapheme_word	H_GPC_onset_word	H_PGC_onset_word	H_GPC_rime_word	H_PGC_rime_word	H_GPC_OVC_word	H_PGC_OVC_word	OUF	OUB	OU	MAXOUF	MAXOUB	MINOUF	MINOUB	PUF	PUB	PU	MAXPUF	MAXPUB	MINPUF	MINPUB	OU_PU_Mismatch	OUF_PUF_Mismatch	OUB_PUB_Mismatch	SN_k25	SN_k50	Entropy_beta5	Entropy_beta10	Dispersion_k50	Hubness_k50	ClusteringCoeff_k25
کثافتهای	کثافتهای	kɛsɑfathɑyɛ	1.589605	3.201289	8	11.0	5.0	0.0	0.0	0.494722	0.507171	0.15259	0.3112	1.665755	0.635141	0.921941	7.848224	0.030433	0.0637	0.094132	0.237071	0.394856	1.9e-05	1.9e-05	0.0306	0.054888	0.085489	0.277575	0.400045	1.6e-05	1.6e-05	0.008644	-0.000168	0.008811							
برتی	برتی	bɛrti	3.713281	3.569758	4	5.0	2.0	0.0	0.0	0.209983	0.324617	0.001344	0.170903	1.185803	0.112367	1.389208	7.439719	0.110991	0.117938	0.228929	0.350873	0.394856	5.4e-05	0.000156	0.121252	0.086656	0.207908	0.37001	0.361663	4.6e-05	0.000112	0.021021	-0.010261	0.031281							
ریلها	ریلها	relhɑ	0.653818	2.815457	5	5.0	2.0	0.0	0.0	0.580161	0.270692	0.00288	0.358523	0.590741	0.084459	1.316093	7.540417	0.031508	0.051123	0.082631	0.141799	0.196007	8e-06	8e-06	0.029971	0.045074	0.075044	0.147505	0.172279	7e-06	7e-06	0.007587	0.001537	0.00605	25.0	50.0	0.99285	0.958167	0.001585	51.0	0.31
دوزهای	دوزهای	duzhɑyɛ	1.283803	3.108498	6	7.0	3.0	1.0	0.0	0.797941	0.631122	0.240199	0.249253	1.782547	0.542411	0.474287	7.379719	0.059142	0.085227	0.144369	0.281878	0.394856	1.5e-05	1.5e-05	0.04484	0.086274	0.131114	0.278657	0.400045	1.3e-05	1.3e-05	0.013255	0.014302	-0.001047	25.0	50.0	0.980314	0.884649	0.003728	37.0	0.226667
جودیت	جودیت	judit	6.157112	3.789377	5	5.0	2.0	0.0	0.0	0.54823	0.168736	0.000858	0.000526	0.718604	0.15761	1.604634	7.009524	0.032442	0.070966	0.103408	0.130041	0.308994	6.6e-05	0.000161	0.029152	0.064763	0.093915	0.130254	0.315786	5.7e-05	5.7e-05	0.009493	0.00329	0.006203	25.0	50.0	0.999177	0.996497	0.000242	481.0	0.38
تورتیلا	تورتیلا	tɔrtilɑ	0.254153	2.405095	7	7.0	3.0	0.0	0.0	0.545569	0.325158	0.002063	0.228991	0.813151	0.410043	1.879331	7.929755	0.032427	0.034693	0.067121	0.178211	0.196007	3e-06	3e-06	0.031636	0.029323	0.06096	0.189863	0.172279	3e-06	3e-06	0.006161	0.000791	0.00537							
دوستی	دوستی	dusti	132.413302	5.121932	5	5.0	2.0	0.0	0.0	0.548145	0.318327	0.001528	0.171429	0.923836	0.196644	1.624342	7.009524	0.081918	0.0988	0.180718	0.281878	0.394856	0.001416	0.001075	0.07321	0.090921	0.164131	0.278657	0.361663	0.001416	0.000933	0.016587	0.008708	0.007879	25.0	26.0	0.983377	0.908262	0.003588	54.0	0.27
مهمونهای	مهمونهای	mɛhmunhɑyɛ	1.564659	3.19442	8	10.0	4.0	0.0	0.0	0.721469	0.502814	0.180752	0.187735	1.45291	0.552385	0.898486	7.420381	0.052125	0.06368	0.115805	0.377749	0.394856	1.9e-05	1.9e-05	0.044909	0.060267	0.105177	0.3953	0.400045	1.6e-05	1.6e-05	0.010629	0.007216	0.003413							
سعیشون	سعیشون	saʔyɛʃun	1.043567	3.01852	6	8.0	3.0	0.0	0.0	0.457116	0.599119	0.238621	0.27965	1.110857	0.670995	1.011057	7.334264	0.030955	0.085262	0.116217	0.169645	0.347165	5.1e-05	1.3e-05	0.038333	0.067219	0.105552	0.204351	0.355901	4.4e-05	1.1e-05	0.010665	-0.007378	0.018043							
نمیزنن	نمیزنن	nɛmizanan	11.339697	4.054601	6	9.0	4.0	0.0	0.0	0.140372	0.298732	0.001128	0.339	0.93747	0.539614	0.92154	7.700468	0.062235	0.061835	0.12407	0.244687	0.347165	0.000141	0.000116	0.050477	0.062208	0.112685	0.237072	0.355901	0.000122	0.0001	0.011385	0.011758	-0.000373	25.0	50.0	0.986505	0.940884	0.003663	66.0	0.563333
