word_norm	PerMillion	Zipf
میکنم	225.625	5.353
ساده	224.883	5.352
رسمی	224.738	5.352
حالت	224.344	5.351
بینی	224.219	5.351
جشنواره	223.955	5.35
ورزش	223.872	5.35
سیاست	223.437	5.349
موسیقی	223.395	5.349
اینترنتی	222.424	5.347
حرف	222.229	5.347
پخش	221.973	5.346
ضمن	221.799	5.346
امر	221.645	5.346
کمی	221.57	5.346
موفق	221.24	5.345
عامل	220.86	5.344
دیگران	220.75	5.344
کن	220.338	5.343
گرفتن	219.556	5.342
انسانی	219.452	5.341
مناطق	219.071	5.341
داره	218.609	5.34
ترکیه	217.941	5.338
ارشد	217.282	5.337
اختیار	217.203	5.337
انجمن	217.04	5.337
انتشار	215.757	5.334
دانشجویان	215.583	5.334
تن	215.319	5.333
حد	215.043	5.333
حسین	214.379	5.331
وبلاگ	214.333	5.331
نتایج	214.253	5.331
صنعتی	214.189	5.331
اروپا	214.161	5.331
نباید	213.854	5.33
نخستین	213.811	5.33
چیست	213.611	5.33
فشار	213.575	5.33
خواب	213.473	5.329
ترامپ	213.369	5.329
نکته	213.082	5.329
پول	213.014	5.328
برچسب	212.692	5.328
اش	212.632	5.328
نور	212.602	5.328
نماینده	211.967	5.326
عرضه	211.327	5.325
کافی	210.948	5.324
پیشنهاد	210.934	5.324
سخت	210.837	5.324
تخصصی	210.807	5.324
فراهم	210.807	5.324
دل	210.797	5.324
نشست	210.758	5.324
جز	210.611	5.323
کلی	210.597	5.323
نیروی	210.494	5.323
روند	210.05	5.322
دار	208.732	5.32
خصوصی	208.695	5.32
تایید	208.599	5.319
جا	208.104	5.318
مرگ	207.958	5.318
باشه	207.616	5.317
ساختمان	207.534	5.317
سعی	206.958	5.316
لطفا	206.212	5.314
چین	206.194	5.314
بعدی	206.177	5.314
اگه	205.864	5.314
کارت	205.617	5.313
جلوگیری	204.989	5.312
دوباره	204.974	5.312
برق	204.444	5.311
پنج	204.276	5.31
خیابان	204.133	5.31
آثار	203.596	5.309
بچه	203.56	5.309
فنی	203.515	5.309
نبود	203.503	5.309
باشیم	202.898	5.307
آمد	202.702	5.307
رهبری	202.371	5.306
درد	201.004	5.303
ابتدا	200.902	5.303
حذف	200.678	5.302
فارس	200.608	5.302
مهندسی	200.031	5.301
عوامل	199.752	5.3
صنایع	199.574	5.3
بهداشت	199.227	5.299
علم	199.03	5.299
اینترنت	198.924	5.299
جمعه	198.903	5.299
قابلیت	198.754	5.298
خانم	197.946	5.297
انگلیسی	197.808	5.296
جمهور	197.679	5.296
موفقیت	197.215	5.295
مراجعه	197.197	5.295
دیدگاه	196.991	5.294
عشق	196.646	5.294
بیمه	196.601	5.294
مادر	196.531	5.293
رسانی	196.455	5.293
اجازه	196.043	5.292
دچار	195.788	5.292
بخشی	195.636	5.291
دولتی	194.772	5.29
نظامی	194.716	5.289
صبح	194.672	5.289
شخصی	194.616	5.289
نرخ	194.612	5.289
طبق	194.583	5.289
ارز	194.488	5.289
اهل	194.151	5.288
گرم	193.928	5.288
اتفاق	193.896	5.288
افغانستان	193.842	5.287
پرورش	193.389	5.286
روحانی	193.293	5.286
خداوند	193.269	5.286
یافته	193.221	5.286
ملت	192.362	5.284
نماید	191.776	5.283
کدام	191.625	5.282
برد	191.295	5.282
استقلال	190.953	5.281
عزیز	190.699	5.28
درخواست	190.625	5.28
خدمت	190.059	5.279
معمولا	189.772	5.278
روزنامه	189.096	5.277
رای	188.724	5.276
باشگاه	188.475	5.275
سبک	188.318	5.275
کوتاه	188.247	5.275
پایه	188.182	5.275
عملیات	188.178	5.275
صحبت	188.103	5.274
یافت	187.986	5.274
جام	186.952	5.272
متفاوت	186.828	5.271
بودم	186.226	5.27
انتظار	185.768	5.269
کشاورزی	185.765	5.269
حتما	185.277	5.268
مبارزه	185.045	5.267
ع	185.002	5.267
اصفهان	184.693	5.266
هیات	184.121	5.265
رفته	183.989	5.265
قانونی	183.898	5.265
اتاق	183.719	5.264
مهمترین	183.427	5.263
جستجو	183.424	5.263
حداقل	183.226	5.263
زیست	182.458	5.261
دستور	182.206	5.261
شهری	181.966	5.26
السلام	181.839	5.26
تلفن	181.476	5.259
چاپ	181.432	5.259
تاریخی	181.31	5.258
فروشگاه	181.0	5.258
اجرایی	180.752	5.257
کارشناسی	180.495	5.256
مدیران	179.965	5.255
تشخیص	179.589	5.254
واقعا	179.516	5.254
آزادی	179.27	5.254
جذب	179.197	5.253
شکن	179.09	5.253
وزن	179.078	5.253
لیگ	178.995	5.253
زیبایی	178.964	5.253
دهنده	178.464	5.252
خواهید	178.139	5.251
تحقیقات	178.016	5.25
توی	177.785	5.25
حرفه	177.638	5.25
امید	177.569	5.249
روشن	177.51	5.249
مجازی	177.347	5.249
متر	176.948	5.248
تجاری	176.938	5.248
حسن	176.597	5.247
افرادی	176.555	5.247
پدر	176.361	5.246
بیرون	176.253	5.246
اصلاح	176.195	5.246
بهبود	176.176	5.246
دفتر	176.031	5.246
اساسی	175.901	5.245
هتل	175.367	5.244
علاقه	175.362	5.244
صدای	175.276	5.244
نحوه	174.912	5.243
بن	174.807	5.243
موثر	174.667	5.242
رفع	174.506	5.242
عربستان	174.494	5.242
آتش	174.353	5.241
خوش	174.323	5.241
ورزشی	174.057	5.241
قصد	173.725	5.24
هوا	173.549	5.239
نمود	173.417	5.239
ضد	173.388	5.239
رفتار	173.107	5.238
جنسی	173.105	5.238
گاهی	173.056	5.238
شاهد	172.303	5.236
الان	172.084	5.236
نمایشگاه	172.0	5.236
جایی	171.67	5.235
میکنیم	171.596	5.235
استاد	171.519	5.234
زنده	171.385	5.234
جدی	171.343	5.234
اولیه	171.246	5.234
خودم	171.149	5.233
هنر	171.127	5.233
برتر	170.977	5.233
درس	170.824	5.233
رسیده	170.686	5.232
جوانان	170.551	5.232
آورد	170.432	5.232
آسیب	169.808	5.23
امسال	169.563	5.229
جالب	169.268	5.229
واقعی	169.267	5.229
توانند	169.196	5.228
سوالات	169.099	5.228
مرتبط	168.966	5.228
شهرداری	168.711	5.227
تحلیل	168.683	5.227
پلیس	168.596	5.227
گوگل	168.582	5.227
تلگرام	168.478	5.227
حکومت	168.444	5.226
حمل	168.274	5.226
مسیله	168.254	5.226
گردشگری	168.234	5.226
اید	168.163	5.226
اصل	168.143	5.226
برخورد	168.088	5.226
رسیدن	167.511	5.224
بالای	167.453	5.224
رضا	166.966	5.223
کره	166.752	5.222
احتمال	166.484	5.221
توصیه	166.339	5.221
شکست	166.073	5.22
آدرس	165.785	5.22
امکانات	165.652	5.219
داشتند	164.876	5.217
دسترسی	164.804	5.217
اهداف	163.472	5.213
دین	163.136	5.213
نداشته	163.041	5.212
